01-02 09:31:01,549326 [INFOR] [userlog] 当前:2024-01-02 09:31:01 用户:cxh 登录成功
01-02 09:31:07,132572 [INFOR] [userlog] 当前:2024-01-02 09:31:07 用户:cxh 退出登录
01-02 09:31:12,454902 [INFOR] [userlog] 当前:2024-01-02 09:31:12 用户:wwh 登录成功
01-02 16:26:31,812804 [INFOR] [userlog] 当前:2024-01-02 16:26:31 用户:wwh 开始固件扫描任务:v2820_v335_246302_B.rst, id:625
01-02 16:26:33,226837 [INFOR] [userlog] 当前:2024-01-02 16:26:33 用户:wwh 创建固件扫描任务:v2820_v335_2111302_B.all, id:626
01-02 16:26:34,158472 [INFOR] [userlog] 当前:2024-01-02 16:26:33 用户:wwh 开始固件扫描任务:v2820_v335_2111302_B.all, id:626
01-02 16:26:35,661504 [INFOR] [userlog] 当前:2024-01-02 16:26:35 用户:wwh 创建固件扫描任务:v2820_v335_2111302_B.rst, id:627
01-02 16:26:36,824501 [INFOR] [userlog] 当前:2024-01-02 16:26:35 用户:wwh 开始固件扫描任务:v2820_v335_2111302_B.rst, id:627
01-02 16:26:38,614307 [INFOR] [userlog] 当前:2024-01-02 16:26:38 用户:wwh 创建固件扫描任务:v2820_v335_214702_B.all, id:628
01-02 16:26:39,540354 [INFOR] [userlog] 当前:2024-01-02 16:26:38 用户:wwh 开始固件扫描任务:v2820_v335_214702_B.all, id:628
01-02 16:26:40,998663 [INFOR] [userlog] 当前:2024-01-02 16:26:40 用户:wwh 创建固件扫描任务:v2820_v335_214702_B.rst, id:629
01-02 16:26:41,950689 [INFOR] [userlog] 当前:2024-01-02 16:26:41 用户:wwh 开始固件扫描任务:v2820_v335_214702_B.rst, id:629
01-02 16:26:43,442925 [INFOR] [userlog] 当前:2024-01-02 16:26:43 用户:wwh 创建固件扫描任务:v2820_v335_2121302_B.rst, id:630
01-02 16:26:44,485594 [INFOR] [userlog] 当前:2024-01-02 16:26:43 用户:wwh 开始固件扫描任务:v2820_v335_2121302_B.rst, id:630
01-02 16:26:45,774975 [INFOR] [userlog] 当前:2024-01-02 16:26:45 用户:wwh 创建固件扫描任务:v2820_v335_2121302_B.all, id:631
01-02 16:26:46,651252 [INFOR] [userlog] 当前:2024-01-02 16:26:46 用户:wwh 开始固件扫描任务:v2820_v335_2121302_B.all, id:631
01-02 16:26:48,021593 [INFOR] [userlog] 当前:2024-01-02 16:26:47 用户:wwh 创建固件扫描任务:v2820_v335_2111312_B.rst, id:632
01-02 16:26:49,357641 [INFOR] [userlog] 当前:2024-01-02 16:26:48 用户:wwh 开始固件扫描任务:v2820_v335_2111312_B.rst, id:632
01-02 16:26:50,805173 [INFOR] [userlog] 当前:2024-01-02 16:26:50 用户:wwh 创建固件扫描任务:v2820_v335_2111312_B.all, id:633
01-02 16:26:51,750155 [INFOR] [userlog] 当前:2024-01-02 16:26:51 用户:wwh 开始固件扫描任务:v2820_v335_2111312_B.all, id:633
01-02 16:26:53,120034 [INFOR] [userlog] 当前:2024-01-02 16:26:53 用户:wwh 创建固件扫描任务:v2820_v335_243701_A.all, id:634
01-02 16:26:54,048818 [INFOR] [userlog] 当前:2024-01-02 16:26:53 用户:wwh 开始固件扫描任务:v2820_v335_243701_A.all, id:634
01-02 16:26:55,335951 [INFOR] [userlog] 当前:2024-01-02 16:26:55 用户:wwh 创建固件扫描任务:v2820_v335_243701_A.rst, id:635
01-02 16:26:56,230657 [INFOR] [userlog] 当前:2024-01-02 16:26:55 用户:wwh 开始固件扫描任务:v2820_v335_243701_A.rst, id:635
01-02 16:26:57,595612 [INFOR] [userlog] 当前:2024-01-02 16:26:57 用户:wwh 创建固件扫描任务:v2820_v335_2211201_A.rst, id:636
01-02 16:26:58,523289 [INFOR] [userlog] 当前:2024-01-02 16:26:57 用户:wwh 开始固件扫描任务:v2820_v335_2211201_A.rst, id:636
01-02 16:26:59,943729 [INFOR] [userlog] 当前:2024-01-02 16:26:59 用户:wwh 创建固件扫描任务:v2820_v335_2211201_A.all, id:637
01-02 16:27:00,802433 [INFOR] [userlog] 当前:2024-01-02 16:27:00 用户:wwh 开始固件扫描任务:v2820_v335_2211201_A.all, id:637
01-02 16:27:02,188383 [INFOR] [userlog] 当前:2024-01-02 16:27:02 用户:wwh 创建固件扫描任务:v2820_v335_2121501_A.all, id:638
01-02 16:27:02,968698 [INFOR] [userlog] 当前:2024-01-02 16:27:02 用户:wwh 开始固件扫描任务:v2820_v335_2121501_A.all, id:638
01-02 16:27:04,116249 [INFOR] [userlog] 当前:2024-01-02 16:27:04 用户:wwh 创建固件扫描任务:v2820_v335_2121501_A.rst, id:639
01-02 16:27:04,834984 [INFOR] [userlog] 当前:2024-01-02 16:27:04 用户:wwh 开始固件扫描任务:v2820_v335_2121501_A.rst, id:639
01-02 16:27:06,108694 [INFOR] [userlog] 当前:2024-01-02 16:27:06 用户:wwh 创建固件扫描任务:v2820_v335_211801_A.rst, id:640
01-02 16:27:06,757930 [INFOR] [userlog] 当前:2024-01-02 16:27:06 用户:wwh 开始固件扫描任务:v2820_v335_211801_A.rst, id:640
01-02 16:27:08,470571 [INFOR] [userlog] 当前:2024-01-02 16:27:08 用户:wwh 创建固件扫描任务:v2820_v335_211801_A.all, id:641
01-02 16:27:09,411427 [INFOR] [userlog] 当前:2024-01-02 16:27:08 用户:wwh 开始固件扫描任务:v2820_v335_211801_A.all, id:641
01-02 16:27:10,746045 [INFOR] [userlog] 当前:2024-01-02 16:27:10 用户:wwh 创建固件扫描任务:v2820_v335_244001_A.all, id:642
01-02 16:27:11,607735 [INFOR] [userlog] 当前:2024-01-02 16:27:11 用户:wwh 开始固件扫描任务:v2820_v335_244001_A.all, id:642
01-02 16:27:13,010677 [INFOR] [userlog] 当前:2024-01-02 16:27:12 用户:wwh 创建固件扫描任务:v2820_v335_244001_A.rst, id:643
01-02 16:27:13,985800 [INFOR] [userlog] 当前:2024-01-02 16:27:13 用户:wwh 开始固件扫描任务:v2820_v335_244001_A.rst, id:643
01-02 16:27:15,460130 [INFOR] [userlog] 当前:2024-01-02 16:27:15 用户:wwh 创建固件扫描任务:v2820_v335_232201_A.rst, id:644
01-02 16:27:16,390150 [INFOR] [userlog] 当前:2024-01-02 16:27:15 用户:wwh 开始固件扫描任务:v2820_v335_232201_A.rst, id:644
01-02 16:27:17,820708 [INFOR] [userlog] 当前:2024-01-02 16:27:17 用户:wwh 创建固件扫描任务:v2820_v335_232201_A.all, id:645
01-02 16:27:18,755835 [INFOR] [userlog] 当前:2024-01-02 16:27:18 用户:wwh 开始固件扫描任务:v2820_v335_232201_A.all, id:645
01-02 16:27:20,196495 [INFOR] [userlog] 当前:2024-01-02 16:27:20 用户:wwh 创建固件扫描任务:v2820_v335_211011_A.all, id:646
01-02 16:27:21,126061 [INFOR] [userlog] 当前:2024-01-02 16:27:20 用户:wwh 开始固件扫描任务:v2820_v335_211011_A.all, id:646
01-02 16:27:22,560243 [INFOR] [userlog] 当前:2024-01-02 16:27:22 用户:wwh 创建固件扫描任务:v2820_v335_211011_A.rst, id:647
01-02 16:27:23,508400 [INFOR] [userlog] 当前:2024-01-02 16:27:22 用户:wwh 开始固件扫描任务:v2820_v335_211011_A.rst, id:647
01-02 16:27:24,921160 [INFOR] [userlog] 当前:2024-01-02 16:27:24 用户:wwh 创建固件扫描任务:v2820_v335_243601_A.all, id:648
01-02 16:27:25,885793 [INFOR] [userlog] 当前:2024-01-02 16:27:25 用户:wwh 开始固件扫描任务:v2820_v335_243601_A.all, id:648
01-02 16:27:27,518295 [INFOR] [userlog] 当前:2024-01-02 16:27:27 用户:wwh 创建固件扫描任务:v2820_v335_243601_A.rst, id:649
01-02 16:27:28,442044 [INFOR] [userlog] 当前:2024-01-02 16:27:27 用户:wwh 开始固件扫描任务:v2820_v335_243601_A.rst, id:649
01-02 16:27:29,935726 [INFOR] [userlog] 当前:2024-01-02 16:27:29 用户:wwh 创建固件扫描任务:v2820_v335_2471201_A.rst, id:650
01-02 16:27:30,912542 [INFOR] [userlog] 当前:2024-01-02 16:27:30 用户:wwh 开始固件扫描任务:v2820_v335_2471201_A.rst, id:650
01-02 16:27:32,297264 [INFOR] [userlog] 当前:2024-01-02 16:27:32 用户:wwh 创建固件扫描任务:v2820_v335_2471201_A.all, id:651
01-02 16:27:33,223794 [INFOR] [userlog] 当前:2024-01-02 16:27:32 用户:wwh 开始固件扫描任务:v2820_v335_2471201_A.all, id:651
01-02 16:27:34,718941 [INFOR] [userlog] 当前:2024-01-02 16:27:34 用户:wwh 创建固件扫描任务:v2820_v335_2431301_A.rst, id:652
01-02 16:27:35,729241 [INFOR] [userlog] 当前:2024-01-02 16:27:35 用户:wwh 开始固件扫描任务:v2820_v335_2431301_A.rst, id:652
01-02 16:27:37,140577 [INFOR] [userlog] 当前:2024-01-02 16:27:37 用户:wwh 创建固件扫描任务:v2820_v335_2431301_A.all, id:653
01-02 16:27:38,057009 [INFOR] [userlog] 当前:2024-01-02 16:27:37 用户:wwh 开始固件扫描任务:v2820_v335_2431301_A.all, id:653
01-02 16:27:40,033029 [INFOR] [userlog] 当前:2024-01-02 16:27:40 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexA 211801.zip, id:654
01-02 16:27:40,965353 [INFOR] [userlog] 当前:2024-01-02 16:27:40 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexA 211801.zip, id:654
01-02 16:27:42,773938 [INFOR] [userlog] 当前:2024-01-02 16:27:42 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexA 2121501.zip, id:655
01-02 16:27:44,022628 [INFOR] [userlog] 当前:2024-01-02 16:27:43 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexA 2121501.zip, id:655
01-02 16:27:45,914357 [INFOR] [userlog] 当前:2024-01-02 16:27:45 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexB 2111112.zip, id:656
01-02 16:27:46,862093 [INFOR] [userlog] 当前:2024-01-02 16:27:46 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexB 2111112.zip, id:656
01-02 16:27:49,238924 [INFOR] [userlog] 当前:2024-01-02 16:27:49 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexA 211011.zip, id:657
01-02 16:27:50,226099 [INFOR] [userlog] 当前:2024-01-02 16:27:49 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexA 211011.zip, id:657
01-02 16:27:52,094636 [INFOR] [userlog] 当前:2024-01-02 16:27:52 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexB 2121302.zip, id:658
01-02 16:27:53,015269 [INFOR] [userlog] 当前:2024-01-02 16:27:52 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexB 2121302.zip, id:658
01-02 16:27:54,794170 [INFOR] [userlog] 当前:2024-01-02 16:27:54 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexB 2111302.zip, id:659
01-02 16:27:55,713773 [INFOR] [userlog] 当前:2024-01-02 16:27:55 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexB 2111302.zip, id:659
01-02 16:27:57,416446 [INFOR] [userlog] 当前:2024-01-02 16:27:57 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexA 2211201.zip, id:660
01-02 16:27:58,539037 [INFOR] [userlog] 当前:2024-01-02 16:27:57 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexA 2211201.zip, id:660
01-02 16:28:00,282381 [INFOR] [userlog] 当前:2024-01-02 16:28:00 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexB 214702.zip, id:661
01-02 16:28:01,203286 [INFOR] [userlog] 当前:2024-01-02 16:28:00 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexB 214702.zip, id:661
01-02 16:28:02,718285 [INFOR] [userlog] 当前:2024-01-02 16:28:02 用户:wwh 创建固件扫描任务:Vigor2820_v3.3.3_annexA_232201.zip, id:662
01-02 16:28:03,528012 [INFOR] [userlog] 当前:2024-01-02 16:28:03 用户:wwh 开始固件扫描任务:Vigor2820_v3.3.3_annexA_232201.zip, id:662
01-02 16:28:05,347796 [INFOR] [userlog] 当前:2024-01-02 16:28:05 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexB 215202.zip, id:663
01-02 16:28:06,080073 [INFOR] [userlog] 当前:2024-01-02 16:28:05 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexB 215202.zip, id:663
01-02 16:28:07,789980 [INFOR] [userlog] 当前:2024-01-02 16:28:07 用户:wwh 创建固件扫描任务:Vigor2820 V3.3.3 AnnexB 2111312.zip, id:664
01-02 16:28:08,699056 [INFOR] [userlog] 当前:2024-01-02 16:28:08 用户:wwh 开始固件扫描任务:Vigor2820 V3.3.3 AnnexB 2111312.zip, id:664
01-02 16:28:10,431652 [INFOR] [userlog] 当前:2024-01-02 16:28:10 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_2211201.zip, id:665
01-02 16:28:11,312621 [INFOR] [userlog] 当前:2024-01-02 16:28:10 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_2211201.zip, id:665
01-02 16:28:13,141302 [INFOR] [userlog] 当前:2024-01-02 16:28:13 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_2471201.zip, id:666
01-02 16:28:14,111701 [INFOR] [userlog] 当前:2024-01-02 16:28:13 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_2471201.zip, id:666
01-02 16:28:15,908864 [INFOR] [userlog] 当前:2024-01-02 16:28:15 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_2121501.zip, id:667
01-02 16:28:16,859126 [INFOR] [userlog] 当前:2024-01-02 16:28:16 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_2121501.zip, id:667
01-02 16:28:18,597698 [INFOR] [userlog] 当前:2024-01-02 16:28:18 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_211801.zip, id:668
01-02 16:28:19,512533 [INFOR] [userlog] 当前:2024-01-02 16:28:18 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_211801.zip, id:668
01-02 16:28:21,225055 [INFOR] [userlog] 当前:2024-01-02 16:28:21 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A__STD.zip, id:669
01-02 16:28:22,189764 [INFOR] [userlog] 当前:2024-01-02 16:28:21 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A__STD.zip, id:669
01-02 16:28:23,998153 [INFOR] [userlog] 当前:2024-01-02 16:28:23 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_243601.zip, id:670
01-02 16:28:24,970611 [INFOR] [userlog] 当前:2024-01-02 16:28:24 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_243601.zip, id:670
01-02 16:28:26,720905 [INFOR] [userlog] 当前:2024-01-02 16:28:26 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_244001.zip, id:671
01-02 16:28:27,701631 [INFOR] [userlog] 当前:2024-01-02 16:28:27 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_244001.zip, id:671
01-02 16:28:29,982191 [INFOR] [userlog] 当前:2024-01-02 16:28:29 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_232201.zip, id:672
01-02 16:28:31,288082 [INFOR] [userlog] 当前:2024-01-02 16:28:30 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_232201.zip, id:672
01-02 16:28:33,661266 [INFOR] [userlog] 当前:2024-01-02 16:28:33 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_243701.zip, id:673
01-02 16:28:35,093387 [INFOR] [userlog] 当前:2024-01-02 16:28:34 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_243701.zip, id:673
01-02 16:28:36,879684 [INFOR] [userlog] 当前:2024-01-02 16:28:36 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_A_2431301.zip, id:674
01-02 16:28:38,161366 [INFOR] [userlog] 当前:2024-01-02 16:28:37 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_A_2431301.zip, id:674
01-02 16:28:39,916253 [INFOR] [userlog] 当前:2024-01-02 16:28:39 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B_246302.zip, id:675
01-02 16:28:40,877257 [INFOR] [userlog] 当前:2024-01-02 16:28:40 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B_246302.zip, id:675
01-02 16:28:42,680284 [INFOR] [userlog] 当前:2024-01-02 16:28:42 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B_2111312.zip, id:676
01-02 16:28:43,681132 [INFOR] [userlog] 当前:2024-01-02 16:28:42 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B_2111312.zip, id:676
01-02 16:28:45,472377 [INFOR] [userlog] 当前:2024-01-02 16:28:45 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B_214702.zip, id:677
01-02 16:28:46,437014 [INFOR] [userlog] 当前:2024-01-02 16:28:45 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B_214702.zip, id:677
01-02 16:28:48,195385 [INFOR] [userlog] 当前:2024-01-02 16:28:48 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B_2111302.zip, id:678
01-02 16:28:49,134858 [INFOR] [userlog] 当前:2024-01-02 16:28:48 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B_2111302.zip, id:678
01-02 16:28:50,909164 [INFOR] [userlog] 当前:2024-01-02 16:28:50 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B_215202.zip, id:679
01-02 16:28:51,883797 [INFOR] [userlog] 当前:2024-01-02 16:28:51 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B_215202.zip, id:679
01-02 16:28:54,529992 [INFOR] [userlog] 当前:2024-01-02 16:28:54 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B_2121302.zip, id:680
01-02 16:28:55,430590 [INFOR] [userlog] 当前:2024-01-02 16:28:54 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B_2121302.zip, id:680
01-02 16:28:57,148788 [INFOR] [userlog] 当前:2024-01-02 16:28:57 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.2_B__STD.zip, id:681
01-02 16:28:58,078676 [INFOR] [userlog] 当前:2024-01-02 16:28:57 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.2_B__STD.zip, id:681
01-02 16:29:00,106405 [INFOR] [userlog] 当前:2024-01-02 16:29:00 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_2121501.zip, id:682
01-02 16:29:01,128868 [INFOR] [userlog] 当前:2024-01-02 16:29:00 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_2121501.zip, id:682
01-02 16:29:02,747440 [INFOR] [userlog] 当前:2024-01-02 16:29:02 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_243601.zip, id:683
01-02 16:29:03,403995 [INFOR] [userlog] 当前:2024-01-02 16:29:02 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_243601.zip, id:683
01-02 16:29:04,961932 [INFOR] [userlog] 当前:2024-01-02 16:29:04 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_244001.zip, id:684
01-02 16:29:05,663069 [INFOR] [userlog] 当前:2024-01-02 16:29:05 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_244001.zip, id:684
01-02 16:29:07,380064 [INFOR] [userlog] 当前:2024-01-02 16:29:07 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_243701.zip, id:685
01-02 16:29:08,346598 [INFOR] [userlog] 当前:2024-01-02 16:29:07 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_243701.zip, id:685
01-02 16:29:10,097761 [INFOR] [userlog] 当前:2024-01-02 16:29:10 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_2431301.zip, id:686
01-02 16:29:11,022474 [INFOR] [userlog] 当前:2024-01-02 16:29:10 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_2431301.zip, id:686
01-02 16:29:13,050596 [INFOR] [userlog] 当前:2024-01-02 16:29:12 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_2211201.zip, id:687
01-02 16:29:14,049791 [INFOR] [userlog] 当前:2024-01-02 16:29:13 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_2211201.zip, id:687
01-02 16:29:15,864316 [INFOR] [userlog] 当前:2024-01-02 16:29:15 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A__STD.zip, id:688
01-02 16:29:16,831745 [INFOR] [userlog] 当前:2024-01-02 16:29:16 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A__STD.zip, id:688
01-02 16:29:18,708820 [INFOR] [userlog] 当前:2024-01-02 16:29:18 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_A_2471201.zip, id:689
01-02 16:29:19,698290 [INFOR] [userlog] 当前:2024-01-02 16:29:18 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_A_2471201.zip, id:689
01-02 16:29:21,528477 [INFOR] [userlog] 当前:2024-01-02 16:29:21 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B_246302.zip, id:690
01-02 16:29:22,476845 [INFOR] [userlog] 当前:2024-01-02 16:29:21 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B_246302.zip, id:690
01-02 16:29:24,350136 [INFOR] [userlog] 当前:2024-01-02 16:29:24 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B__STD.zip, id:691
01-02 16:29:25,246861 [INFOR] [userlog] 当前:2024-01-02 16:29:24 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B__STD.zip, id:691
01-02 16:29:26,955389 [INFOR] [userlog] 当前:2024-01-02 16:29:26 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B_215202.zip, id:692
01-02 16:29:27,908365 [INFOR] [userlog] 当前:2024-01-02 16:29:27 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B_215202.zip, id:692
01-02 16:29:29,634717 [INFOR] [userlog] 当前:2024-01-02 16:29:29 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B_2121302.zip, id:693
01-02 16:29:30,577608 [INFOR] [userlog] 当前:2024-01-02 16:29:29 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B_2121302.zip, id:693
01-02 16:29:32,386774 [INFOR] [userlog] 当前:2024-01-02 16:29:32 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B_2111312.zip, id:694
01-02 16:29:33,347457 [INFOR] [userlog] 当前:2024-01-02 16:29:32 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B_2111312.zip, id:694
01-02 16:29:35,063683 [INFOR] [userlog] 当前:2024-01-02 16:29:35 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B_214702.zip, id:695
01-02 16:29:36,052370 [INFOR] [userlog] 当前:2024-01-02 16:29:35 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B_214702.zip, id:695
01-02 16:29:37,755592 [INFOR] [userlog] 当前:2024-01-02 16:29:37 用户:wwh 创建固件扫描任务:Vigor2820_V3.3.7.3_B_2111302.zip, id:696
01-02 16:29:38,803721 [INFOR] [userlog] 当前:2024-01-02 16:29:38 用户:wwh 开始固件扫描任务:Vigor2820_V3.3.7.3_B_2111302.zip, id:696
01-02 16:29:40,495716 [INFOR] [userlog] 当前:2024-01-02 16:29:40 用户:wwh 创建固件扫描任务:Vigor2820_AnnexB_215202.zip, id:697
01-02 16:29:41,419561 [INFOR] [userlog] 当前:2024-01-02 16:29:40 用户:wwh 开始固件扫描任务:Vigor2820_AnnexB_215202.zip, id:697
01-02 16:29:43,361238 [INFOR] [userlog] 当前:2024-01-02 16:29:43 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+A+243701.zip, id:698
01-02 16:29:44,646633 [INFOR] [userlog] 当前:2024-01-02 16:29:43 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+A+243701.zip, id:698
01-02 16:29:46,291577 [INFOR] [userlog] 当前:2024-01-02 16:29:46 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+A+243601.zip, id:699
01-02 16:29:47,257460 [INFOR] [userlog] 当前:2024-01-02 16:29:46 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+A+243601.zip, id:699
01-02 16:29:48,976842 [INFOR] [userlog] 当前:2024-01-02 16:29:48 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+B+2111112.zip, id:700
01-02 16:29:49,895859 [INFOR] [userlog] 当前:2024-01-02 16:29:49 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+B+2111112.zip, id:700
01-02 16:29:51,632476 [INFOR] [userlog] 当前:2024-01-02 16:29:51 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+B+215202.zip, id:701
01-02 16:29:52,601509 [INFOR] [userlog] 当前:2024-01-02 16:29:51 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+B+215202.zip, id:701
01-02 16:29:54,250236 [INFOR] [userlog] 当前:2024-01-02 16:29:54 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+A+211801.zip, id:702
01-02 16:29:55,110070 [INFOR] [userlog] 当前:2024-01-02 16:29:54 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+A+211801.zip, id:702
01-02 16:29:56,967723 [INFOR] [userlog] 当前:2024-01-02 16:29:56 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+B+2111312.zip, id:703
01-02 16:29:57,947630 [INFOR] [userlog] 当前:2024-01-02 16:29:57 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+B+2111312.zip, id:703
01-02 16:29:59,542985 [INFOR] [userlog] 当前:2024-01-02 16:29:59 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+B+246302.zip, id:704
01-02 16:30:00,425530 [INFOR] [userlog] 当前:2024-01-02 16:29:59 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+B+246302.zip, id:704
01-02 16:30:01,991552 [INFOR] [userlog] 当前:2024-01-02 16:30:01 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+B+2121302.zip, id:705
01-02 16:30:03,107157 [INFOR] [userlog] 当前:2024-01-02 16:30:02 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+B+2121302.zip, id:705
01-02 16:30:05,264141 [INFOR] [userlog] 当前:2024-01-02 16:30:04 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+A+2211201.zip, id:706
01-02 16:30:06,333701 [INFOR] [userlog] 当前:2024-01-02 16:30:05 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+A+2211201.zip, id:706
01-02 16:30:07,963189 [INFOR] [userlog] 当前:2024-01-02 16:30:07 用户:wwh 创建固件扫描任务:Vigor2820+V3.3.4+Annex+A+2121501.zip, id:707
01-02 16:30:08,850503 [INFOR] [userlog] 当前:2024-01-02 16:30:08 用户:wwh 开始固件扫描任务:Vigor2820+V3.3.4+Annex+A+2121501.zip, id:707
